title,vote_average
Missing in Action 2: The Beginning,5.0
Braddock: Missing in Action III,4.8
Thunderbolt and Lightfoot,6.6
Dreamscape,6.0
The Golden Voyage of Sinbad,6.4
Hatchet for the Honeymoon,7.0
House Party,6.1
House Party 2,4.7
Make Mine Music,5.2
Melody Time,6.3
Nekromantik,5.4
On Our Merry Way,6.0
Project Moon Base,2.5
Rocketship X-M,5.1
Shaft in Africa,5.4
Shaft's Big Score!,6.1
Croupier,6.7
The Kid,6.0
Scary Movie,6.0
But I'm a Cheerleader,6.5
Shower,6.8
Blow-Up,7.3
The Pawnbroker,7.3
Groove,5.6
Footloose,6.4
Duel in the Sun,6.2
X-Men,6.8
Chuck & Buck,5.7
The Five Senses,6.6
The Wisdom of Crocodiles,5.8
The In Crowd,4.7
What Lies Beneath,6.3
Pokémon: The Movie 2000,6.4
Criminal Lovers,6.6
Anatomy of a Murder,7.7
Freejack,5.0
Greaser's Palace,5.6
H.O.T.S.,5.1
Knightriders,6.5
Mackenna's Gold,6.4
Sinbad and the Eye of the Tiger,6.3
Two Women,7.6
What About Bob?,6.7
White Sands,5.5
Breaker Morant,7.2
Everything You Always Wanted to Know About Sex *But Were Afraid to Ask,6.6
Interiors,6.7
Love and Death,7.5
The Official Story,7.3
The Other Side of Sunday,5.0
Pot o' Gold,7.3
Tampopo,7.9
Thomas and the Magic Railroad,4.8
Nutty Professor II: The Klumps,4.7
The Girl on the Bridge,7.1
Wonderland,6.9
Autumn in New York,5.7
Coyote Ugly,5.8
Hollow Man,5.6
Space Cowboys,6.3
Better Living,1.0
Mad About Mambo,4.6
Psycho Beach Party,6.0
Saving Grace,6.3
Black Sabbath,6.9
The Brain That Wouldn't Die,4.4
Bronco Billy,5.2
The Crush,5.5
Kelly's Heroes,7.2
Phantasm II,6.3
Phantasm III: Lord of the Dead,5.6
Phantasm IV: Oblivion,4.9
Pumpkinhead,5.9
Air America,5.3
Sleepaway Camp,6.1
Steel Magnolias,7.1
...And God Created Woman,6.2
Easy Money,6.6
Ilsa: She Wolf of the SS,5.1
Silent Fall,5.2
The Spiral Staircase,6.6
What Ever Happened to Aunt Alice?,5.2
Margaret Cho: I'm the One That I Want,8.7
The Tao of Steve,5.9
Aimee & Jaguar,6.3
An Affair of Love,6.5
The Autumn Heart,0.0
Bless the Child,4.9
Cecil B. Demented,6.2
The Eyes of Tammy Faye,7.0
The Opportunists,5.5
The Replacements,6.2
About Adam,5.4
The Cell,6.0
Godzilla 2000,5.9
The Original Kings of Comedy,6.5
All the Rage,5.3
The Naked Gun: From the Files of Police Squad!,7.1
The Naked Gun 2½: The Smell of Fear,6.6
Our Town,4.6
Shane,7.3
"Suddenly, Last Summer",7.0
Cat Ballou,6.5
A Couch in New York,5.6
The Devil Rides Out,6.7
Jerry and Tom,6.7
Supergirl,4.7
X: The Unknown,5.8
The Art of War,5.6
The Ballad of Ramblin' Jack,0.0
Phish: Bittersweet Motel,6.0
Bring It On,5.8
Catfish in Black Bean Sauce,0.0
The Crew,6.4
Love & Sex,5.7
Steal This Movie,6.2
Went to Coney Island on a Mission from God... Be Back by Five,0.0
Skipped Parts,6.5
Highlander: Endgame,4.4
Turn It Up,5.0
Anatomy,6.1
Nurse Betty,5.9
Alone,6.7
The Watcher,5.0
The Way of the Gun,6.4
Almost Famous,7.4
Bait,6.1
Circus,4.3
Crime + Punishment in Suburbia,6.1
Duets,5.5
Goya in Bordeaux,5.5
Urbania,5.2
Uninvited Guest,5.0
The Specials,5.5
Under Suspicion,6.4
Urban Legends: Final Cut,4.4
Woman on Top,5.5
Dancer in the Dark,7.7
Best in Show,6.7
Beautiful,5.8
Barenaked in America,1.0
The Broken Hearts Club: A Romantic Comedy,6.3
Girlfight,6.4
Remember the Titans,7.4
Hellraiser,6.9
Hellbound: Hellraiser II,6.3
Hellraiser III: Hell on Earth,5.3
"Faraway, So Close!",6.4
Beach Party,6.8
Bikini Beach,6.7
Return of the Fly,5.7
Pajama Party,6.3
Stranger Than Paradise,7.4
Voyage to the Bottom of the Sea,5.4
Fantastic Voyage,6.7
Abbott and Costello Meet Frankenstein,7.4
The Bank Dick,6.8
Creature from the Black Lagoon,6.7
The Giant Gila Monster,4.2
The Invisible Man,7.3
The Killer Shrews,4.3
Kronos,5.8
Phantom of the Opera,5.6
Runaway,5.0
The Slumber Party Massacre,5.7
Slumber Party Massacre II,5.0
Slumber Party Massacre III,5.4
Sorority House Massacre,4.7
Sorority House Massacre II,5.0
Bamboozled,6.3
Bootmen,5.7
Digimon: The Movie,6.2
Get Carter,4.8
Get Carter,6.9
Meet the Parents,6.6
Requiem for a Dream,7.9
Tigerland,6.7
Two Family House,7.0
The Contender,6.7
Dr. T and the Women,4.6
Just Looking,5.8
The Ladies Man,5.7
Lost Souls,4.5
Billy Jack,6.5
Billy Jack Goes to Washington,6.4
The Time Machine,7.5
Haunted,6.4
Ghoulies,4.2
Ghoulies II,4.4
The Unsinkable Molly Brown,5.7
The Adventures of Ichabod and Mr. Toad,6.4
The Strange Love of Martha Ivers,6.9
Detour,7.3
Billy Elliot,7.4
Bedazzled,5.6
Pay It Forward,7.0
The Beyond,6.6
The Private Eyes,6.9
The Legend of Drunken Master,7.2
Book of Shadows: Blair Witch 2,4.3
The Little Vampire,6.0
Lucky Numbers,4.9
Stardom,6.4
Charlie's Angels,5.6
The Legend of Bagger Vance,6.4
Little Nicky,5.2
Men of Honor,7.0
Red Planet,5.4
What's Cooking?,6.4
You Can Count on Me,6.8
Diamonds Are Forever,6.3
The Eagle Has Landed,6.4
The 6th Day,5.7
Bounce,5.5
How the Grinch Stole Christmas,6.2
One Day in September,7.3
Rugrats in Paris: The Movie,6.0
102 Dalmatians,5.1
Malena,6.9
Quills,6.8
Unbreakable,6.9
"Crouching Tiger, Hidden Dragon",7.2
Dungeons & Dragons,3.9
Proof of Life,6.1
Vertical Limit,5.9
The Bounty,6.5
Code of Silence,6.0
"Planes, Trains and Automobiles",7.1
She's Having a Baby,5.5
Secrets of the Heart,6.4
The Living Daylights,6.2
The Transformers: The Movie,7.1
Wall Street,7.0
Born on the Fourth of July,6.7
Talk Radio,6.7
Brewster's Millions,6.5
Snatch,7.7
Punchline,5.1
Mr Accident,5.3
Chocolat,6.8
"Dude, Where’s My Car?",5.3
The Emperor's New Groove,7.2
Pollock,6.6
What Women Want,6.1
Finding Forrester,7.0
The Gift,6.4
Before Night Falls,6.6
Cast Away,7.5
The Family Man,6.5
The House of Mirth,6.4
Miss Congeniality,6.1
Nowhere to Hide,6.8
"O Brother, Where Art Thou?",7.3
Songcatcher,5.6
State and Main,6.5
Dracula 2000,4.6
All the Pretty Horses,5.8
An Everlasting Piece,6.0
Thirteen Days,6.9
Traffic,6.9
The Claim,5.6
Shadow of the Vampire,6.6
House of Games,7.0
Kill Me Again,5.7
Annie,6.2
Don't Tell Mom the Babysitter's Dead,5.8
An Officer and a Gentleman,6.8
The Alamo,6.5
At Close Range,6.7
Breaker! Breaker!,4.7
Breakheart Pass,6.7
Friendly Persuasion,6.1
Gettysburg,6.6
Imaginary Crimes,3.7
Rancho Deluxe,5.5
The St  Francisville Experiment,5.5
Antitrust,5.8
Double Take,5.5
Save the Last Dance,6.3
Panic,6.8
The Pledge,6.6
The Personals,7.5
The Amati Girls,0.0
Love Field,5.4
The Man in the Moon,7.1
Mystic Pizza,6.0
Prelude to a Kiss,5.4
Coffy,7.2
Foxy Brown,6.4
I'm Gonna Git You Sucka,6.2
Untamed Heart,6.5
Sugar & Spice,5.7
The Wedding Planner,5.4
Amy,6.9
Faithless,6.4
The Invisible Circus,5.1
The Legend of Rita,5.4
A Monkey's Tale,6.3
Two Ninas,7.0
"Harry, He's Here To Help",6.7
Amazing Grace and Chuck,6.3
Amazon Women on the Moon,6.0
Baby Boom,6.0
Back to the Beach,5.9
Barfly,7.3
Best Seller,6.3
Beverly Hills Cop II,6.1
Beverly Hills Cop,6.8
The Big Easy,6.2
Big Shots,7.0
The Big Town,5.9
Born in East L.A.,5.9
The Brave Little Toaster,6.8
Can't Buy Me Love,6.7
Cherry 2000,6.0
Cop,6.6
Critical Condition,6.2
Cry Freedom,7.0
Curse,3.0
Dead of Winter,6.4
The Dead,6.5
Death Before Dishonor,5.0
Disorderlies,4.4
Dogs in Space,5.9
Eddie Murphy Raw,7.4
Empire of the Sun,7.3
Ernest Goes to Camp,5.5
The Evil Dead,7.3
Extreme Prejudice,5.7
Family Viewing,5.7
Five Corners,5.5
Flowers in the Attic,6.4
The Fourth Protocol,6.1
Gardens of Stone,5.5
Julia and Julia,6.0
The Glass Menagerie,6.2
"Good Morning, Babylon",5.8
Hiding Out,5.2
Hollywood Shuffle,5.7
Hope and Glory,6.5
Hot Pursuit,6.1
Housekeeping,5.5
Hunk,7.0
Innerspace,6.6
Ironweed,6.4
Ishtar,4.3
Jaws: The Revenge,3.5
Leonard Part 6,2.7
Less Than Zero,6.1
Like Father Like Son,5.3
The Lost Boys,6.8
Made in Heaven,6.6
Maid to Order,5.2
Making Mr. Right,3.8
Mannequin,5.5
Masters of the Universe,5.1
Million Dollar Mystery,4.5
The Monster Squad,6.8
A Month in the Country,5.9
Morgan Stewart's Coming Home,4.9
My Demon Lover,5.9
No Man's Land,6.1
North Shore,5.2
Head Over Heels,5.3
Left Behind,4.0
Valentine,5.0
In the Mood for Love,7.8
Fever,6.0
The Million Dollar Hotel,5.9
Nico and Dani,5.9
Hannibal,6.4
Saving Silverman,5.4
Signs & Wonders,5.0
The Taste of Others,6.6
Vatel,6.0
Down to Earth,4.9
Recess: School's Out,6.6
Sweet November,6.4
Company Man,5.3
The Price of Milk,6.0
Monkeybone,4.2
3000 Miles to Graceland,5.8
The Widow of Saint-Pierre,6.7
The Mexican,5.8
See Spot Run,4.8
Carman: The Champion,3.2
The Caveman's Valentine,6.0
"Me, You, Them",6.5
Series 7: The Contenders,6.3
15 Minutes,5.7
Get Over It,5.5
Blow Dry,5.8
Long Night's Journey Into Day,2.5
Avalon,6.0
Gray's Anatomy,6.3
Madadayo,7.4
The Mirror Crack'd,6.0
Of Mice and Men,7.3
Pixote,8.4
Reform School Girls,6.4
Tapeheads,5.4
Tuff Turf,5.9
The Unbelievable Truth,7.4
The Bishop's Wife,6.9
Elvis That's the Way It Is,7.8
The Fortune Cookie,7.0
Lilies of the Field,6.7
Hans Christian Andersen,6.7
The Greatest Story Ever Told,6.5
Elmer Gantry,7.3
Alfie,6.5
Demetrius and the Gladiators,6.4
The Fantasticks,6.6
I Know Where I'm Going!,6.7
The Abominable Dr. Phibes,6.9
"Die, Monster, Die!",6.5
Real Life,6.1
Battle Beyond the Stars,5.9
Death Warrant,5.4
Double Impact,5.3
The End,5.7
Fuzz,6.2
Harley Davidson and the Marlboro Man,6.1
Losin' It,4.5
Mermaids,6.5
The Mighty Quinn,5.8
Unmade Beds,5.0
Rated X,5.2
Manhunter,6.8
Reversal of Fortune,6.6
Death on the Nile,6.7
DeepStar Six,5.0
Revenge of the Nerds,6.6
Revenge of the Nerds II: Nerds in Paradise,5.5
Longtime Companion,7.2
4 Little Girls,6.7
River's Edge,6.7
Girls Just Want to Have Fun,6.5
The Longest Yard,6.4
Necessary Roughness,5.5
C.H.U.D.,5.3
Enemy at the Gates,7.2
Exit Wounds,5.3
The Dish,6.6
Memento,8.1
The Brothers,6.8
Heartbreakers,5.8
Say It Isn't So,4.8
Someone Like You...,6.0
Spy Kids,5.5
Tomcats,4.9
The Tailor of Panama,6.2
Amores perros,7.6
Keep the River on Your Right: A Modern Cannibal Tale,8.0
The Gleaners & I,7.0
Along Came a Spider,6.1
Blow,7.4
Just Visiting,4.9
Pokémon: Spell of the Unknown,6.0
Beautiful Creatures,5.9
Brigham City,7.3
The Day I Became a Woman,4.1
Shadow Magic,6.0
Bridget Jones's Diary,6.6
Joe Dirt,5.5
Josie and the Pussycats,5.2
Kingdom Come,8.0
The Body,4.9
Chopper,6.7
The Circle,6.6
Crocodile Dundee in Los Angeles,4.7
Freddy Got Fingered,4.5
The Center of the World,4.4
The Girl,0.0
The Low Down,0.0
The Luzhin Defence,6.6
The Visit,0.0
Lilies,7.3
Scarface,8.0
Days of Wine and Roses,7.5
Driven,4.5
The Forsaken,4.9
One Night at McCool's,5.7
Town & Country,4.1
Rat,6.0
The Mummy Returns,6.0
Eureka,6.6
Tuvalu,5.8
Under the Sand,6.4
Cleopatra,6.7
Krull,5.8
Lost in America,7.3
The Lost World,6.6
Triumph of the Will,6.9
True Believer,6.3
The World According to Garp,6.9
Candy,5.3
Fellini Satyricon,7.0
Roma,6.6
Frankie and Johnny,5.9
Frankie and Johnny,6.6
A Home of Our Own,7.0
Paris When It Sizzles,6.3
Pola X,6.0
City of Women,6.8
For the Boys,6.5
Nine to Five,6.7
Norma Rae,6.9
Summer Rental,6.5
"The 5,000 Fingers of Dr. T.",6.7
Catchfire,5.8
Love Story,6.6
Pelle the Conqueror,6.9
Rififi,7.7
A Knight's Tale,6.6
Bread and Roses,6.3
Calle 54,6.0
The King Is Alive,5.8
Sordid Lives,5.8
Startup.com,6.3
Angel Eyes,5.5
Shrek,7.3
Fast Food Fast Women,5.8
Moulin Rouge!,7.4
Little Brothers,5.4
Pearl Harbor,6.6
Bloody Angels,9.0
Himalaya,6.9
The Man Who Cried,5.8
Our Song,6.4
Ice Castles,6.3
Love Potion No. 9,5.4
Postcards from the Edge,6.3
Apache,5.8
"Buffalo Bill and the Indians, or Sitting Bull's History Lesson",5.7
City Slickers,6.2
Eight Men Out,7.5
The Horse Soldiers,6.8
The Kentuckian,6.0
La Notte,7.7
Mississippi Burning,7.4
The Magnificent Seven,7.4
Return of the Seven,5.3
Rio Bravo,7.6
The Scarlet Empress,6.7
Semi-Tough,5.6
Suspect,6.4
Throw Momma from the Train,6.0
Yi Yi,7.7
Midnight Madness,5.4
Nightwatch,7.1
The Sand Pebbles,7.2
Twelve O'Clock High,7.0
Von Ryan's Express,6.7
The Animal,4.6
What's the Worst That Could Happen?,5.1
Big Eden,6.1
Evolution,5.7
Swordfish,6.1
The Anniversary Party,6.4
Bride of the Wind,0.0
Divided We Fall,7.6
Whatever Happened to Harold Smith?,6.6
Catch-22,6.7
Forgotten Silver,6.9
Point Break,6.9
Shag,5.9
Uncommon Valor,6.2
Unlawful Entry,5.8
Youngblood,5.8
Gentlemen Prefer Blondes,7.1
How to Marry a Millionaire,6.9
Macabre,6.1
The Seven Year Itch,7.0
There's No Business Like Show Business,6.7
Tootsie,6.9
The Boys Next Door,5.9
Too Late the Hero,6.4
Pavilion of Women,5.3
Atlantis: The Lost Empire,6.7
Lara Croft: Tomb Raider,5.7
Dr. Dolittle 2,4.9
The Fast and the Furious,6.6
A.I. Artificial Intelligence,6.8
Baby Boy,7.3
Crazy/Beautiful,6.6
Pootie Tang,5.4
Snow days,5.0
Funny Felix,5.1
Down from the Mountain,7.0
Russian Doll,0.0
Sexy Beast,7.0
"South of Heaven, West of Hell",5.0
The Princess and the Warrior,7.1
The Closet,6.2
Wolves,6.5
The Crimson Rivers,6.8
Lumumba,5.5
Pandaemonium,4.5
Cats & Dogs,5.0
Kiss of the Dragon,6.4
Scary Movie 2,5.4
Lost and Delirious,6.8
Baise-moi,4.2
The Vertical Ray of the Sun,6.7
Alice,6.3
Another Woman,6.8
Beach Blanket Bingo,7.0
Big Deal on Madonna Street,8.1
The Cannonball Run,6.2
Cannonball Run II,5.4
Speed Zone,4.1
Diary of a Chambermaid,7.2
Donovan's Brain,5.7
Donovan's Reef,6.0
Dr. Goldfoot and the Bikini Machine,6.1
House of Usher,6.5
Faust,7.8
The Last Laugh,7.7
The Man Who Shot Liberty Valance,7.4
Salvador,7.0
September,6.3
Shadows and Fog,7.0
Something Wild,6.5
The Sons of Katie Elder,7.0
The Thing with Two Heads,3.9
Village of the Giants,3.3
X: The Man with the X-Ray Eyes,6.4
Nice Dreams,6.6
The Day the Earth Caught Fire,7.3
The House by the Cemetery,5.8
Things Are Tough All Over,6.1
All That Heaven Allows,7.4
The Barefoot Contessa,6.7
The Blackout,5.2
Cries and Whispers,7.8
The Entertainer,5.5
The Garden of the Finzi-Continis,6.6
Howling III: The Marsupials,4.1
Kiss Me Deadly,7.1
The Lion in Winter,7.6
The Misfits,6.8
Moby Dick,6.9
Popcorn,5.7
Rembrandt,6.5
Sweet Smell of Success,7.5
Written on the Wind,6.9
The 10th Victim,6.0
Colonel Redl,6.2
Obsession,6.5
Suspiria,7.5
Fist of Fury,7.4
Christiane F.,7.3
The Big Boss,7.3
Game of Death,6.3
The Last Dragon,6.4
Outland,6.2
The Way of the Dragon,7.4
T-Rex: Back to the Cretaceous,4.5
Final Fantasy: The Spirits Within,5.9
Legally Blonde,6.2
The Score,6.7
Adanggaman,7.5
Bully,6.7
Jump Tomorrow,6.9
Made,6.3
Michael Jordan to the Max,7.5
More,7.9
Thrill Ride: The Science of Fun,6.0
Haunted Castle,5.0
Africa: The Serengeti,5.9
Alaska: Spirit of the Wild,5.3
Encounter in the Third Dimension,8.0
Siegfried & Roy: The Magic Box,0.0
18 Again!,5.7
1969,5.5
The Accidental Tourist,5.9
The Accused,6.8
Above the Law,5.9
The Adventures of Baron Munchausen,6.9
Apartment Zero,6.9
Appointment with Death,6.2
Ariel,7.1
Arthur 2: On the Rocks,4.5
Bad Dreams,5.3
Bat*21,5.9
Beaches,6.5
The Beast of War,6.7
Big Business,5.8
Big Top Pee-wee,5.1
Biloxi Blues,6.4
Bird,6.6
The Blob,6.3
The Boost,5.3
"Bright Lights, Big City",4.7
Caddyshack II,3.9
Camille Claudel 1915,7.0
Casual Sex?,4.3
Clean and Sober,6.3
Cocktail,5.7
Colors,6.6
Coming to America,6.5
The Couch Trip,5.3
Criminal Law,5.5
Critters,5.9
Critters 2,5.0
Critters 3,4.5
Crossing Delancey,5.8
D.O.A.,5.9
Dead Heat,5.8
The Dead Pool,6.3
Dirty Rotten Scoundrels,7.0
Drowning by Numbers,7.0
"Elvira, Mistress of the Dark",6.1
Ernest Saves Christmas,4.9
Everybody's All-American,4.6
Feds,5.7
For Keeps,6.1
Frantic,6.6
Fresh Horses,4.6
Gorillas in the Mist,6.7
The Great Outdoors,6.4
Heartbreak Hotel,5.7
High Spirits,5.6
Hot to Trot,5.1
The House on Carroll Street,5.4
Howling IV: The Original Nightmare,3.3
Imagine: John Lennon,7.3
Johnny Be Good,4.3
Lady in White,6.3
The Lair of the White Worm,5.8
The Land Before Time,7.0
License to Drive,6.1
Little Nikita,5.9
Masquerade,5.2
The Milagro Beanfield War,6.7
Moon Over Parador,6.0
Moving,5.6
My Stepmother is an Alien,5.3
A Night in the Life of Jimmy Reardon,4.9
Off Limits,5.6
Bagdad Cafe,7.0
Permanent Record,5.7
Red Heat,5.8
Return of the Living Dead Part II,5.8
The Return of the Living Dead,7.3
Return to Snowy River,6.0
The Man from Snowy River,6.9
Rocket Gibraltar,6.2
Running on Empty,7.4
Salome's Last Dance,5.7
Salsa,4.8
Satisfaction,4.5
The Serpent and the Rainbow,6.2
Shakedown,6.2
Shoot to Kill,6.7
Short Circuit 2,5.5
Short Circuit,6.4
The Vanishing,7.4
Stormy Monday,5.9
Sunset,5.6
Sweet Hearts Dance,5.5
Switching Channels,5.7
The Telephone,5.8
Tetsuo: The Iron Man,6.7
They Live,7.1
To Kill a Priest,6.7
Torch Song Trilogy,7.0
Track 29,6.2
Tucker: The Man and His Dream,6.5
Twins,5.7
Vice Versa,5.6
Watchers,5.1
Waxwork,5.7
Without a Clue,6.3
Young Einstein,4.5
Always,6.0
American Ninja,5.5
American Ninja 2: The Confrontation,4.9
American Ninja 3: Blood Hunt,4.1
Best of the Best 2,6.1
The Big Picture,5.9
Bill & Ted's Excellent Adventure,6.7
Black Rain,6.2
Blaze,5.9
Blind Fury,6.2
Breaking In,5.3
C.H.U.D. II: Bud the Chud,3.5
Casualties of War,6.8
Chances Are,6.5
Cookie,5.0
Cyborg,4.9
Dad,5.6
Dead Bang,5.4
Disorganized Crime,4.7
Dream a Little Dream,5.8
The Dream Team,6.0
A Dry White Season,6.5
Earth Girls Are Easy,5.5
Eddie and the Cruisers II: Eddie Lives!,6.4
Eddie and the Cruisers,6.6
Enemies: A Love Story,5.7
Erik the Viking,6.0
The Experts,4.3
Family Business,5.4
Farewell to the King,5.9
Fat Man and Little Boy,6.5
The Girl in a Swing,4.7
Gleaming the Cube,5.4
Going Overboard,2.5
Great Balls of Fire!,6.0
Gross Anatomy,5.9
Happy Together,5.2
Harlem Nights,5.7
Her Alibi,5.0
Homer and Eddie,5.6
How to Get Ahead in Advertising,6.4
Immediate Family,5.8
In Country,5.3
An Innocent Man,6.4
Jacknife,6.1
The January Man,5.1
Johnny Handsome,6.1
Jesus of Montreal,6.8
K-9,5.5
Kickboxer,6.3
Last Exit to Brooklyn,6.1
Lean On Me,6.7
Let It Ride,7.1
Leviathan,6.0
Little Monsters,5.6
Lock Up,6.2
Look Who's Talking,5.8
Loverboy,5.5
Major League,6.7
Meet the Feebles,6.4
Millennium,5.0
Miracle Mile,7.2
Miss Firecracker,5.0
New York Stories,6.2
Next of Kin,5.0
No Holds Barred,5.6
Old Gringo,5.7
The Package,5.6
Parents,6.1
Penn & Teller Get Killed,5.9
Pink Cadillac,5.3
The Punisher,5.5
Red Scorpion,4.9
Jurassic Park III,5.7
America's Sweethearts,5.5
Brother,6.8
Ghost World,7.1
Hedwig and the Angry Inch,7.4
Planet of the Apes,5.6
Bread and Tulips,7.0
Cure,7.4
Greenfingers,6.6
The Monkey's Mask,4.8
Wet Hot American Summer,6.4
Relentless,6.0
Renegades,5.2
The Return of Swamp Thing,4.6
The Return of the Musketeers,6.2
Road House,6.3
Romero,6.7
Rosalie Goes Shopping,6.5
Rude Awakening,4.1
Santa Sangre,7.1
Scandal,5.8
Scenes from the Class Struggle in Beverly Hills,4.7
Sea of Love,6.7
"See No Evil, Hear No Evil",6.4
She's Out of Control,4.7
Shirley Valentine,6.5
Shocker,5.5
Skin Deep,5.8
Slaves of New York,4.8
Some Girls,4.9
Stepfather II: Make Room For Daddy,5.8
The Stepfather,6.6
Sweetie,4.9
The Tall Guy,5.7
Tango & Cash,6.1
Tap,6.0
Three Fugitives,6.0
Troop Beverly Hills,5.6
Turner & Hooch,5.9
UHF,6.7
Uncle Buck,6.6
Vampire's Kiss,6.0
The War of the Roses,6.7
Warlock,5.8
The Wizard,6.1
Worth Winning,6.0
Warlock: The Armageddon,5.2
Weekend at Bernie's II,4.9
Billy Liar,6.7
Black Robe,7.5
The Cat o' Nine Tails,6.9
The Cotton Club,6.5
Def-Con 4,2.8
The Hotel New Hampshire,5.8
Idiot Box,4.7
Left Luggage,6.9
Who'll Stop the Rain,6.8
"Zorro, The Gay Blade",5.4
Basket Case,6.2
Orphans,6.8
Original Sin,5.8
The Princess Diaries,6.5
Rush Hour 2,6.4
Thomas in Love,6.0
Chocolat,6.5
Hatari!,6.2
La Cage aux folles,6.9
La Cage aux folles II,5.7
Liebestraum,6.2
Marat/Sade,5.9
Paint Your Wagon,6.3
The Shootist,7.3
Theremin: An Electronic Odyssey,5.2
The Wild Child,7.3
Altered States,6.7
Any Which Way You Can,6.1
The Awakening,5.8
Bad Timing,6.6
The Big Brawl,5.9
American Pie 2,6.0
Osmosis Jones,6.0
The Others,7.4
American Outlaws,5.7
All Over the Guy,5.6
The Deep End,6.0
On the Edge,7.4
Session 9,6.2
Captain Corelli's Mandolin,5.6
Rat Race,6.0
Aberdeen,7.0
Bubble Boy,5.1
The Curse of the Jade Scorpion,6.5
Jay and Silent Bob Strike Back,6.4
Ghosts of Mars,4.8
Summer Catch,4.8
An American Rhapsody,6.0
Happy Accidents,7.1
Maybe Baby,5.6
Together,6.8
Punks,5.0
Tortilla Soup,5.8
Jeepers Creepers,6.1
O,5.8
Waking Up in Reno,5.0
Speedway Junky,5.2
3 Ninjas,5.5
3 Ninjas Kick Back,4.6
3 Ninjas Knuckle Up,4.2
The Hunter,6.2
Maniac,6.1
Vamp,5.9
The Wicker Man,7.1
Wish Upon a Star,6.2
The Musketeer,5.2
Rock Star,6.0
Soul Survivors,4.4
Two Can Play That Game,6.6
Diamond Men,6.7
Djomeh,4.3
The Iron Ladies,5.2
Kill Me Later,6.0
L.I.E.,6.7
Our Lady of the Assassins,6.5
Abbott and Costello Meet the Mummy,6.4
"Dr. Mabuse, the Gambler",7.6
Into the Arms of Strangers: Stories of the Kindertransport,7.8
The Glass House,5.4
Hardball,6.3
Dinner Rush,7.1
Haiku Tunnel,7.0
Big Trouble,6.3
Glitter,3.4
Training Day,7.3
The American Astronaut,6.5
Children Underground,7.2
Go Tigers!,8.0
Liam,6.3
Megiddo: The Omega Code 2,3.6
Sidewalks of New York,5.6
The Endurance: Shackleton's Legendary Antarctic Expedition,6.2
The French Lieutenant's Woman,6.7
The Great Silence,7.5
The Legend of Hell House,6.5
Little Man Tate,6.0
Moscow Does Not Believe in Tears,7.9
Phantom of the Paradise,7.5
The Return of a Man Called Horse,5.3
Valdez Is Coming,5.5
13 Ghosts,5.6
Montenegro,7.7
Opera,6.6
Father Goose,6.5
The Grass Is Greener,5.5
A Hole in the Head,5.4
Indiscreet,6.3
"It's a Mad, Mad, Mad, Mad World",7.0
King Solomon's Mines,4.8
The Little Foxes,7.7
Operation Petticoat,6.9
Play Misty for Me,6.5
Pocketful of Miracles,7.3
Sayonara,5.4
The Shop on Main Street,7.4
Spring Break,5.1
The Vanishing,5.9
Silkwood,6.9
I Never Promised You a Rose Garden,7.9
Quadrophenia,7.2
SpaceCamp,5.8
When Worlds Collide,6.2
Don't Say a Word,6.0
Hearts in Atlantis,6.5
Zoolander,6.1
Born Romantic,5.9
Extreme Days,5.9
Va Savoir (Who Knows?),6.9
Won't Anybody Listen,8.0
Joy Ride,6.3
Max Keeble's Big Move,5.4
Serendipity,6.6
Grateful Dawg,6.0
La Cienaga,7.1
The Big Red One,6.8
The Boogey Man,5.0
The Party,6.4
Lady in a Cage,6.6
Brubaker,7.1
Can't Stop the Music,4.9
Carny,6.4
The Changeling,7.0
Cheech & Chong's Next Movie,6.5
Coal Miner's Daughter,7.2
The Competition,6.0
Cruising,6.0
D.O.A.,2.4
Death Ship,5.5
The Last Metro,7.2
Divine Madness,8.0
The Dogs of War,4.9
The Learning Curve,6.5
Bandits,6.2
Corky Romano,4.1
Iron Monkey,7.6
Fat Girl,6.2
Mulholland Drive,7.7
My First Mister,6.4
Spriggan,6.0
Things Behind the Sun,5.9
Bones,4.3
Brannigan,5.1
Clambake,5.6
Dirty Harry,7.4
Destiny in Space,7.0
Fiddler on the Roof,7.4
Hail Columbia!,0.0
Kansas,3.3
Making the Grade,5.8
Mission to Mir,3.0
Not Without My Daughter,6.2
Female Trouble,6.9
Titanica,6.0
From Hell,6.6
The Last Castle,7.0
Riding in Cars with Boys,6.5
Bangkok Dangerous,6.1
Burnt Money,6.4
Dancing at the Blue Iguana,5.3
Focus,6.6
Intimacy,6.1
Waking Life,7.6
K-PAX,7.1
On the Line,4.1
Thir13en Ghosts,5.4
Better Than Sex,5.5
Donnie Darko,7.7
High Heels and Low Lifes,6.4
Life as a House,7.2
The Man Who Wasn't There,7.4
Ouch,7.0
The Town Is Quiet,6.8
Domestic Disturbance,5.4
"Monsters, Inc.",7.5
The One,5.7
Tape,6.9
Heist,6.3
Shallow Hal,5.7
King of the Jungle,5.0
Maze,7.0
When a Stranger Calls,6.3
Timerider: The Adventure of Lyle Swann,4.9
The Wash,5.3
Harry Potter and the Philosopher's Stone,7.5
The Fluffer,5.4
Novocaine,6.0
Black Knight,5.1
Out Cold,5.8
Spy Game,6.8
The Devil's Backbone,7.2
In the Bedroom,6.4
Hell Up In Harlem,4.1
Bucktown,6.0
Across 110th Street,6.9
Le Petit Soldat,7.3
