genero_principal,title,vote_average
Thriller,Aamir,6.7
Drama,Mammoth,6.1
Drama,The Days Between,6.3
Drama,The Young Victoria,7.1
Drama,Intentions of Murder,6.6
Documentary,Amazing Journey: The Story of The Who,7.0
Drama,The Informers,4.4
Comedy,Antique,6.2
Adventure,X-Men Origins: Wolverine,6.2
Comedy,The Girlfriend Experience,5.2
Comedy,Turtles Are Surprisingly Fast Swimmers,6.4
Action,The Desert Trail,3.3
Documentary,Moving Midway,5.5
Documentary,American Swing,4.3
Drama,Sin Nombre,7.3
Documentary,The Life and Times of Allen Ginsberg,0.0
Science Fiction,Star Trek,7.4
Comedy,Happy Campers,5.4
Comedy,Black Magic,8.2
Comedy,Lymelife,6.4
Comedy,The Great Buck Howard,6.0
Drama,Euphoria,6.0
Drama,Cherry Blossoms,7.5
Action,Riders of Destiny,4.3
Action,Flatfoot in Egypt,6.2
Action,XIII,5.9
Adventure,Knights of Bloodsteel,4.6
War,Red Cliff Part II,7.1
Drama,Love Sick,6.9
Comedy,The Girl from Monaco,4.9
Thriller,Black Ice,5.4
Crime,Wild Things: Diamonds in the Rough,4.3
Comedy,Człowiek z M-3,7.0
Comedy,I Hate Mondays,7.7
Thriller,S. Darko,3.6
Documentary,Earth,7.5
Drama,Sagebrush Trail,4.2
Documentary,Stanley Kubrick: A Life in Pictures,7.2
Western,A Lady Takes a Chance,7.5
Comedy,Wyjście awaryjne,0.0
Crime,Shuttle,5.7
Crime,Crossing Over,6.2
Thriller,Angels & Demons,6.5
Documentary,"Kids in the Hall: Same Guys, New Dresses",0.0
Action,Django the Bastard,4.4
Action,The Man from Monterey,5.3
Crime,Daylight Robbery,5.3
Action,Scorpio,6.0
Comedy,Balls Out: The Gary Houseman Story,5.4
Documentary,Outrage,7.4
Drama,The Seduction of Joe Tynan,7.0
War,Man in the Middle,6.6
Western,More Dead Than Alive,5.9
Drama,Powder Blue,6.3
Comedy,The Devil Is a Woman,6.2
Adventure,Fanboys,6.1
Comedy,Folks!,6.1
Thriller,Live!,5.7
Drama,The Merry Gentleman,6.8
Documentary,The Murder of Fred Hampton,7.5
Drama,Incendiary,5.3
Drama,Love Songs,7.0
Comedy,Management,5.5
Action,Terminator Salvation,5.9
Adventure,Night at the Museum: Battle of the Smithsonian,5.9
Documentary,Ghosts of Cité Soleil,5.0
Documentary,How to Cook Your Life,5.0
Music,Were The World Mine,6.1
Documentary,Every Little Step,5.8
Horror,Lesbian Vampire Killers,5.3
Adventure,The Brothers Bloom,6.8
Western,Man in the Saddle,5.6
Western,Montana,4.8
Drama,Vincere,6.4
Comedy,A Cure for Love,0.0
Comedy,Our Folks,7.6
History,Paisan,7.6
Drama,"Jeanne Dielman, 23, Quai du Commerce 1080 Bruxelles",7.3
Drama,Shall We Kiss?,6.6
Comedy,I Do,6.4
Comedy,Hi Diddle Diddle,8.3
Comedy,Rhinoceros,7.5
Comedy,The Man With Bogart's Face,6.0
Comedy,The Monster,6.0
Drama,Chop Shop,7.2
Action,Caliber 9,7.5
Romance,Suzanne's Career,5.4
Drama,Moontide,5.4
Horror,Catacombs,4.5
Drama,The Soloist,6.6
Crime,The Last House on the Left,6.2
Comedy,Anioł w Krakowie,9.0
Mystery,Neon Genesis Evangelion: Death and Rebirth,7.4
Horror,Drag Me to Hell,6.2
Animation,Up,7.8
Drama,Late Autumn,7.7
Action,Fullmetal Alchemist the Movie: Conqueror of Shamballa,7.0
Comedy,Easy Virtue,6.4
Action,Dance Flick,4.7
Comedy,Summer Hours,6.8
Comedy,Show People,6.8
Romance,Two English Girls,6.7
Drama,Female,6.2
Western,Firecreek,5.5
Crime,OSS 117: Lost in Rio,7.0
Comedy,The Flame of New Orleans,4.8
Adventure,Flash Gordon: Trip to Mars,4.3
Drama,Personal Effects,5.8
Comedy,Fired Up!,6.0
Drama,The Winslow Boy,6.5
Comedy,Trojan War,5.4
Science Fiction,The War Game,7.8
Action,Without a Paddle: Nature's Calling,5.1
Action,Graduation,5.7
Drama,Welcome,7.1
Thriller,In the Electric Mist,6.0
Comedy,The Hangover,7.2
Crime,Killshot,5.9
Drama,Antichrist,6.4
Action,Don,6.0
Drama,Sweeney Todd,6.3
Drama,Pete Kelly's Blues,6.4
Action,Jimmy and Judy,5.4
Action,A Song Is Born,6.4
Comedy,Billu,6.5
Action,Many Rivers to Cross,6.0
Comedy,Ricky Rapper,6.3
Comedy,Show,6.3
Fantasy,Boy Eats Girl,5.4
Action,The Man From Utah,4.1
Comedy,The Wing or the Thigh,6.8
Comedy,Perched on a Tree,5.0
Drama,Marius and Jeannette,5.9
Comedy,Ernest Rides Again,4.5
Comedy,U Pana Boga za piecem,6.8
Romance,Blind Husbands,6.0
Drama,Berlin Alexanderplatz,8.4
Drama,Before The Rains,5.0
Drama,Special,6.6
Comedy,New in Town,5.2
Comedy,The Merry Widow,4.9
Drama,Salaam Namaste,5.7
Horror,Dead Snow,6.1
Adventure,Land of the Lost,5.4
Comedy,The Clique,5.2
Comedy,Fatso,5.1
Crime,A Free Soul,4.7
Drama,Momma's Man,6.5
Comedy,Imagine That,5.7
Thriller,The Taking of Pelham 1 2 3,6.2
Drama,Hana and Alice,6.9
Crime,Flame & Citron,6.8
Drama,Fade to Black,5.0
Comedy,In Therapy,5.6
Horror,Chain Reaction,5.9
Horror,Jekyll + Hyde,4.8
Thriller,Went the Day Well?,7.1
Adventure,Zulu Dawn,5.6
Drama,American Violet,7.2
Crime,Suspect X,7.4
Action,Spiritual Kung Fu,6.3
Action,Big Man Japan,5.3
Drama,Wrestling Ernest Hemingway,5.7
Drama,Cargo,4.7
Action,The Hitman,5.3
Drama,Goodbye Again,4.6
Crime,The Stoning of Soraya M.,8.0
Comedy,The Proposal,6.7
Horror,The Crawling Hand,2.4
Action,Dillinger,6.7
Drama,Home from the Hill,3.8
Documentary,Small Town Gay Bar,5.7
Comedy,Year One,4.6
Drama,O'Horten,6.1
Drama,5 Against the House,5.3
Comedy,Three on a Couch,5.0
Romance,Promise Me This,6.4
Horror,Mindwarp,5.5
Adventure,The Land That Time Forgot,5.7
Documentary,Tyson,6.6
Documentary,Primary,7.0
Drama,Angels of the Universe,6.9
Romance,The Alibi,5.7
Animation,Garfield's Pet Force,5.7
Drama,Dutchman,4.3
Drama,The Hurt Locker,7.2
Comedy,The Executioner,7.5
Action,Air Hawks,6.0
Drama,Anna Lucasta,5.0
Foreign,How I Unleashed World War II Part III: Among Friends,7.0
Crime,Tu£sday,8.0
Comedy,Breakfast with Scot,5.9
Drama,La Ronde,7.5
Comedy,Brunet wieczorową porą,6.3
Comedy,Going Berserk,5.4
Horror,Luther the Geek,6.5
Crime,Les vampires,6.8
Crime,The Limits of Control,6.4
Comedy,Pornorama,6.3
Documentary,Heavy Metal in Baghdad,6.1
Action,Raiders of the Lost Ark - The Adaptation,6.3
Science Fiction,Transformers: Revenge of the Fallen,6.0
Documentary,Home,7.9
Thriller,K2,5.7
Horror,Dabbe,3.3
Drama,Tulpan,5.6
Crime,The File on Thelma Jordon,6.3
Action,Jet Pilot,5.2
Drama,Phoebe in Wonderland,7.0
Comedy,Whatever Works,6.8
Fantasy,Ghosts of Girlfriends Past,5.6
Drama,Holly,6.9
Action,Hustle,6.4
Drama,Houdini,6.6
History,Public Enemies,6.5
Animation,Ice Age: Dawn of the Dinosaurs,6.5
History,120,7.5
Action,Prison Break: The Final Break,7.5
Drama,Samson and Delilah,5.7
Action,Final Approach,5.7
Crime,The Mob,6.0
Drama,Daisy Kenyon,6.4
Animation,Is It College Yet?,7.4
Comedy,Irena do domu!,0.0
Animation,The Journey to Melonia,6.8
Comedy,Love Streams,7.4
Drama,Blue Week,6.0
Horror,Night Of The Living Dead 3D,4.0
Documentary,Mumia Abu-Jamal: A Case for Reasonable Doubt?,0.0
Documentary,Off the Charts: The Song-Poem Story,0.0
Drama,My Sister's Keeper,7.1
Romance,Kambakkht Ishq,4.3
Action,Hood of Horror,4.2
Comedy,The Dirt Bike Kid,5.3
Drama,Kandukondain Kandukondain,6.4
Fantasy,Lady Death,5.8
Comedy,Blonde Crazy,5.9
Animation,Tales of the Black Freighter,7.0
Action,"Ranma ½: Nihao, My Concubine",5.8
Drama,Pittsburgh,5.3
Action,The Lucky Texan,3.9
Comedy,(500) Days of Summer,7.2
Drama,Through the Olive Trees,7.4
Documentary,News from a Personal War,6.5
Drama,Magnificent Obsession,8.0
War,7th Heaven,6.9
Drama,Madame Bovary,6.3
Comedy,Brüno,5.4
Documentary,The Boys: The Sherman Brothers' Story,7.8
Documentary,1939: Hollywood's Greatest Year,8.0
Crime,Madigan,5.6
Thriller,Terrified,3.7
Animation,The Pinchcliffe Grand Prix,7.9
Fantasy,The Librarian: The Curse of the Judas Chalice,5.9
Action,The Inhabited Island,5.4
Comedy,Gravehopping,6.0
Drama,Franklyn,5.9
Action,Men of War,5.5
Documentary,Iron Maiden: Flight 666,8.5
Comedy,Good Dick,6.1
Adventure,Harry Potter and the Half-Blood Prince,7.4
Drama,Mélo,6.8
Drama,Love Unto Death,7.0
History,Eichmann,5.7
Documentary,Blue Blood,0.0
Comedy,The Visitors II: The Corridors of Time,5.8
Documentary,Who Killed Nancy?,6.8
Drama,Open Water 2: Adrift,5.2
Drama,Possessed,4.3
Drama,The Group,4.7
Romance,Senso,7.1
Comedy,Slap Shot 2: Breaking the Ice,4.2
Drama,The Mark of Cain,5.5
Comedy,The Strawberry Blonde,6.3
Family,The Muppet Musicians of Bremen,0.0
Drama,A Brief Vacation,5.3
Comedy,My Sassy Girl,6.1
Action,The Fast and the Furious,3.8
Drama,Game of Death II,4.9
Adventure,The Imaginarium of Doctor Parnassus,6.3
Documentary,9to5: Days in Porn,6.1
Documentary,Sink or Swim,8.0
Action,The Giant of Marathon,4.8
Drama,Ludwig,7.5
Horror,Shiver,5.4
Crime,Winter of Frozen Dreams,4.5
Drama,Cold Water,8.0
Comedy,Humpday,5.6
Comedy,Ten Inch Hero,6.7
Drama,Tokyo Sonata,6.9
Comedy,Kill Your Darlings,7.0
Crime,Polytechnique,6.8
Comedy,Visioneers,6.0
Horror,The Vault of Horror,6.5
Comedy,The Dark Backward,5.1
Drama,Blue City,5.3
Thriller,Judas Kiss,5.3
Action,Streets of Blood,4.6
Drama,Jonathan Livingston Seagull,6.2
Drama,Cheri,5.9
Adventure,One Week,6.9
Action,"Run, Simon, Run",6.0
Action,'Neath the Arizona Skies,3.7
Documentary,Pavement: Slow Century,10.0
Comedy,Mortal Transfer,6.0
Drama,Loulou,6.3
Comedy,The Answer Man,6.2
Action,Rage at Dawn,7.3
Action,Paradise Canyon,3.7
Documentary,A Perfect Fake,0.0
Comedy,Seven Years Bad Luck,5.6
Comedy,The Gang's All Here,6.6
Horror,Orphan,6.7
TV Movie,Afterburn,4.3
Crime,Winged Creatures,6.2
Western,Rainbow Valley,5.1
Comedy,The Ugly Truth,6.4
Drama,Heimat: A Chronicle of Germany,9.0
History,Wild River,6.5
Documentary,My first war,0.0
Comedy,High Hopes,7.5
Drama,Tulsa,6.5
Horror,The Collector,6.3
Thriller,A Perfect Getaway,6.2
Romance,Fan-Fan the Tulip,5.6
Horror,Dark Ride,4.3
Drama,House,4.1
Drama,Dallas 362,5.5
Drama,"Moonshot, the Flight of Apollo 11",5.9
Adventure,Aliens in the Attic,5.3
Science Fiction,District 9,7.3
Romance,Julie & Julia,6.6
Drama,The Beaches of Agnès,6.3
Drama,Obsessed,5.1
Adventure,Race to Witch Mountain,5.4
Comedy,Pagafantas,5.2
Mystery,Black Box,5.2
Comedy,My Stars,4.8
Comedy,Hannah Montana: The Movie,6.0
Adventure,G.I. Joe: The Rise of Cobra,5.6
Drama,Séraphine,6.6
Comedy,Cold Souls,6.1
Drama,Daddy Nostalgia,7.2
Action,12 Rounds,5.7
Comedy,"Silent Night, Deadly Night II",4.7
Drama,The Boys from Fengkuei,6.9
Drama,The Sandwich Man,6.7
Comedy,La Moitié gauche du frigo,5.0
Drama,Where Danger Lives,5.4
Drama,The Killing Room,5.5
Drama,Introducing Dorothy Dandridge,6.0
Drama,A Summer at Grandpa's,7.7
Drama,"A Time to Live, a Time to Die",7.8
Comedy,The One and Only,6.2
Drama,Fail Safe,7.0
Comedy,Four Last Songs,6.2
Drama,Max Manus: Man of War,6.9
Drama,Gangster's Paradise: Jerusalema,6.8
Documentary,Wings of Hope,7.7
Action,The Trail Beyond,4.1
Action,Winds of the Wasteland,5.2
Action,Kill Buljo,6.6
Drama,Stone of Destiny,6.4
Documentary,Okie Noodling,5.0
Action,Days of Darkness,5.0
Action,Randy Rides Alone,4.0
Action,West of the Divide,3.8
Comedy,Darlings!,5.0
Action,The Star Packer,3.8
Animation,Evangelion: 1.0: You Are (Not) Alone,7.4
Animation,Love Hina Christmas Special: Silent Eve,5.5
Drama,Molière,3.6
Drama,Floating Clouds,7.4
Drama,Japanese Girls at the Harbor,5.0
Comedy,Deal,5.2
Drama,Doing Time on Maple Drive,4.9
Action,The Line,4.9
Romance,The Ramen Girl,6.1
Comedy,"The Goods: Live Hard, Sell Hard",5.4
Drama,Adam,6.9
Drama,Just Sex and Nothing Else,8.0
Action,Alien Trespass,5.9
Action,Ignition,2.8
Drama,Dillinger and Capone,5.3
Comedy,"Next Stop, Greenwich Village",7.2
Comedy,Gigantic,5.8
Drama,The Time Traveler's Wife,6.7
Action,Feast II: Sloppy Seconds,5.6
Drama,Katze im Sack,0.0
Drama,Traffic Affairs,4.3
Drama,Waterland,5.8
Drama,I Can't Think Straight,7.3
Comedy,Miss March,5.4
Comedy,Bandslam,5.4
Drama,A City of Sadness,7.5
Documentary,Harvard Beats Yale 29-29,6.5
Documentary,The Great Happiness Space: Tale of an Osaka Love Thief,7.1
Comedy,Meet the Browns,6.0
Comedy,"I Love You, Beth Cooper",5.2
Drama,Le Deuxième Souffle,7.5
Drama,No Regret,6.4
Comedy,Detroit Metal City,6.1
Drama,Daughter of the Nile,7.0
Comedy,Paper Heart,5.7
Crime,Mystery Street,6.2
Drama,The Haunting of Molly Hartley,4.3
Fantasy,G-Force,5.1
Action,Christopher Columbus: The Discovery,4.3
Action,Fighting,5.5
Drama,Tetro,6.7
Drama,Seven Waves Away,8.7
Romance,"Good Men, Good Women",7.8
Crime,Side Street,5.5
Drama,Adoration,5.9
Drama,Bronson,6.9
Drama,Feel The Noise,3.9
Drama,I Really Hate My Job,3.8
Documentary,The Matador,0.0
Music,Little Richard,4.5
Comedy,The Curiosity of Chance,5.8
Fantasy,If Only,6.5
Drama,Susana,6.9
Action,Vengeance Valley,4.0
Crime,Great Guy,6.6
Adventure,The Hurricane Express,4.9
Adventure,The Secret of Moonacre,6.2
Documentary,Olympia Part One: Festival of the Nations,6.6
Documentary,Olympia Part Two: Festival of Beauty,6.2
Action,Assault on Devil's Island,5.4
Documentary,Cinematographer Style,6.3
Horror,The Cell 2,3.4
Horror,Summer School,6.0
Drama,Krakatoa: The Last Days,6.3
Drama,Queen Kelly,6.5
Thriller,The Master Touch,6.0
Drama,Nora Roberts' Midnight Bayou,5.8
TV Movie,Northern Lights,5.8
Crime,Lorna's Silence,6.7
Drama,Le Doulos,7.4
Documentary,It Might Get Loud,7.4
Comedy,Botched,6.1
Action,Lonely Street,5.3
Drama,High Noon,5.3
Drama,A Day in the Country,7.5
Adventure,Moonfleet,5.9
Drama,7 Women,5.7
Horror,Vacancy 2: The First Cut,4.8
Comedy,The Pom Pom Girls,5.2
TV Movie,Nora Roberts' Tribute,5.3
Comedy,Post Grad,5.0
Drama,Goodbye Solo,6.6
Action,Long John Silver,6.3
Romance,Voices,0.0
Comedy,To Each His Own Cinema,7.2
Comedy,My Life in Ruins,5.6
Horror,Troll 2,3.6
Documentary,London,5.0
Drama,Paris 36,6.2
Drama,Murder Ahoy,7.2
Documentary,Witch Hunt,7.7
Comedy,A Dog Year,6.0
Drama,Good,6.3
Drama,The Romance of Astrea and Celadon,5.3
Drama,Boyfriends and Girlfriends,7.6
Music,Taking Woodstock,6.2
Drama,Norma Jean & Marilyn,4.0
TV Movie,If These Walls Could Talk,5.5
Thriller,Cargo 200,7.1
Horror,Halloween II,5.1
Action,Meteor,5.1
Thriller,Five Graves to Cairo,6.9
Crime,The Dark Corner,6.9
Drama,Full Body Massage,5.5
Drama,A Good Marriage,6.7
Documentary,Videocracy,6.4
Crime,The Secret in Their Eyes,7.8
Documentary,The Day After Trinity,8.0
Action,9,6.6
Comedy,Carry On Screaming,7.0
Crime,Green Street Hooligans 2,5.0
Action,Randy & the Mob,4.8
Comedy,Detective,6.8
Action,The Three Musketeers,3.0
Comedy,Seven Sinners,6.6
Drama,Frequently Asked Questions About Time Travel,7.1
Crime,The White Ribbon,7.2
Comedy,The Handcuff King,5.7
Comedy,"Sex, Party and Lies",4.0
Comedy,Brain Drain,5.5
Documentary,Living with Michael Jackson: A Tonight Special,1.0
Action,Green Lantern: First Flight,6.3
Documentary,Louis Theroux: The Most Hated Family in America,7.6
Action,Lies & Illusions,3.9
Action,Pandorum,6.5
Adventure,Paraiso Travel,5.8
Comedy,Airbag,6.5
Romance,Peter Ibbetson,5.6
Crime,Death of a Cyclist,7.0
Drama,Skellig,4.6
Drama,Flood,4.5
Comedy,The Men Who Stare at Goats,5.9
Comedy,Immigrants (L.A. Dolce Vita),5.3
Action,The Hunt for Gollum,6.3
Comedy,Welcome Mr. Marshall!,6.9
Crime,Beast from Haunted Cave,4.9
Drama,Tout Va Bien,6.6
Drama,Street of Shame,7.7
Drama,Padre Padrone,6.7
Drama,The Travelling Players,6.8
Documentary,Valentino: The Last Emperor,6.6
Comedy,The Pilgrim,7.3
Comedy,Le Million,6.7
Drama,Memories of Underdevelopment,7.1
Comedy,Return of the Ghostbusters,5.2
Thriller,Laid to Rest,5.2
Comedy,Jennifer's Body,5.3
Drama,The Informant!,6.0
Drama,The Great Gabbo,6.0
Drama,Hillsborough,4.0
Thriller,The Broken,5.6
Western,The Tall Men,6.2
Crime,Tension,6.7
Drama,Amreeka,6.3
Comedy,Extract,5.7
Horror,The Final Destination,5.4
Action,Gamer,5.6
Animation,Cloudy with a Chance of Meatballs,6.5
Romance,Radio Inside,0.0
Drama,I Can Do Bad All By Myself,6.0
Family,The Silver Stallion,4.3
Adventure,Mr. Robinson Crusoe,0.0
Drama,The Wreck of the Mary Deare,5.8
Documentary,"Food, Inc.",7.3
Drama,Beeswax,7.4
Drama,Conspiracy of Torture,7.2
Horror,Attack of the 50 Foot Woman,4.8
Drama,Thirst,7.0
Action,Battle for Terra,6.0
Drama,Forbidden Fruit,6.9
Drama,Love Happens,5.6
Drama,Bright Star,6.8
Horror,Blood Creek,5.2
Drama,Split Second,5.7
Thriller,Scandal Sheet,6.5
Drama,Turn Left at the End of the World,6.2
Thriller,I Want You,5.9
Comedy,Confidence Reigns,5.5
Horror,Hellraiser: Deader,4.4
Horror,Hellraiser: Hellworld,4.1
Crime,Chronicle of an Escape,6.2
Horror,Paranormal Activity,5.9
Action,Lake City,6.3
Drama,The Eagle Has Two Heads,7.0
Comedy,"Forever, Darling",9.0
Comedy,Not Quite Hollywood,6.9
Comedy,3 Ring Circus,5.5
Music,The 3 Worlds of Gulliver,5.4
Thriller,Kinatay,5.8
Comedy,Angel,6.8
Comedy,Hellzapoppin',6.9
Action,Ballast,7.0
Horror,5 Dolls for an August Moon,5.7
Comedy,World's Greatest Dad,6.5
Adventure,"Black God, White Devil",6.8
Drama,Still Walking,7.5
Drama,Le Plaisir,6.8
Music,Pyaasa,7.6
Drama,"Muriel, or the Time of Return",7.0
Comedy,Xala,7.0
Documentary,Capitalism: A Love Story,7.0
Documentary,Blood of the Beasts,8.0
Western,The Five Man Army,6.6
Action,Wanted,5.2
Documentary,The Cove,7.9
Comedy,A Serious Man,6.6
Drama,City Island,6.9
Action,Ink,6.5
Animation,The Cameraman's Revenge,7.2
Animation,Down to the Cellar,7.3
Action,Yatterman,5.9
Animation,Metropia,6.3
Drama,Clubbed,7.3
Animation,"The Pit, the Pendulum and Hope",7.1
Horror,Grace,5.1
Animation,The Haunted World of El Superbeasto,6.1
Drama,Story of a Prostitute,6.8
Horror,Trick 'r Treat,6.7
Horror,The Hills Run Red,5.1
Drama,Whip It,6.7
Comedy,The Invention of Lying,6.0
Documentary,Unmistaken Child,4.7
Comedy,A-Haunting We Will Go,4.9
Action,Surrogates,5.9
Action,Next Day Air,5.3
Comedy,Zombieland,7.2
Music,Fame,5.5
Documentary,The September Issue,6.9
Comedy,Assassination of a High School President,6.1
Comedy,How to Be a Serial Killer,4.8
Comedy,Bud Abbott and Lou Costello in Hollywood,6.2
Comedy,Abbott and Costello in the Foreign Legion,6.7
Horror,Sorority Row,5.3
Action,Whiteout,5.3
Comedy,Rudo & Cursi,6.1
Drama,An Education,6.9
TV Movie,David and Lisa,6.8
Adventure,Abbott and Costello Meet Captain Kidd,6.2
Drama,Life Is a Bed of Roses,5.3
Drama,Coco Before Chanel,6.7
History,The Story of Louis Pasteur,6.6
Crime,The Killing of John Lennon,6.1
Documentary,Burma VJ: Reporting from a Closed Country,6.4
Comedy,Werner Herzog Eats His Shoe,7.1
Crime,Capone,6.0
Comedy,Abbott and Costello Meet the Keystone Kops,6.2
Comedy,Couples Retreat,5.3
Comedy,All About Steve,4.7
Music,Hiroshima,5.0
Drama,Giant,7.0
Drama,The End of St. Petersburg,7.3
Drama,Jab We Met,7.2
Action,Fifty Dead Men Walking,6.1
Romance,Bay of Angels,6.4
Drama,The Docks of New York,6.8
Drama,Our Daily Bread,2.5
Romance,Deadgirl,5.5
Romance,Lola,5.5
Comedy,The Merry Jail,9.5
Comedy,Love Hina Spring Special - I Wish Your Dream,4.7
Drama,Yellow Earth,7.9
Drama,Cleopatra,5.2
Comedy,The Divorce of Lady X,6.8
Animation,Bye-Bye Bin Laden,0.0
Comedy,Gayniggers from Outer Space,4.3
Documentary,The Windmill Movie,7.0
Comedy,I Sell The Dead,6.0
Drama,Van Gogh,6.6
Drama,The Shanghai Gesture,6.0
Fantasy,The Tales of Hoffmann,6.4
Drama,The Wedding March,6.1
Family,Where the Wild Things Are,6.4
Drama,Georg,5.2
Drama,Entranced Earth,6.3
Music,The Cloud-Capped Star,7.3
Romance,India Song,7.0
Documentary,¡Que Viva México!,6.8
Documentary,Get Thrashed,6.4
Action,Aces High,4.3
Comedy,Shoulder Arms,6.7
Crime,The Man Who Watched Trains Go By,6.3
Drama,Reckless,5.8
Drama,Lost Angels,6.5
Drama,Black Eagle,4.0
Adventure,Legionnaire,5.2
Documentary,Beer Wars,5.9
Comedy,Shorts,5.1
Comedy,"New York, I Love You",5.7
Drama,Law Abiding Citizen,7.2
Adventure,The Flame and the Arrow,6.4
Science Fiction,"I, Monster",4.8
Drama,Rich in Love,7.2
Drama,The Misfortunates,7.3
Action,Moon Warriors,6.0
Adventure,Amelia,5.4
Horror,The Stepfather,5.4
Drama,See You in the Morning,5.7
Animation,Mary and Max,7.8
Comedy,Spread,5.2
Horror,The Tournament,5.8
Drama,The Boys Are Back,6.4
Drama,Cairo Time,6.3
Drama,5th Day of Peace,4.5
Action,The 7th Dawn,4.7
Comedy,There's Always Tomorrow,7.4
Drama,The Round-Up,6.0
Drama,The Taking of Power by Louis XIV,6.9
Drama,The Sound Barrier,5.5
Drama,Spring in a Small Town,6.7
Romance,The Princess and the Pirate,6.5
Drama,Ceddo,8.4
Drama,The Tiger of Eschnapur,5.7
Drama,Mother,7.6
Music,Under the Roofs of Paris,6.2
Documentary,The Hour of the Furnaces,3.6
Romance,Before the Revolution,7.1
Drama,Afterschool,5.8
Fantasy,Dragonquest,2.3
Action,The Dark Lurking,3.4
Science Fiction,Aelita: Queen of Mars,5.7
Adventure,The Extraordinary Adventures of Mr. West in the Land of the Bolsheviks,5.5
Drama,Up in the Air,6.7
TV Movie,David Copperfield,4.8
Documentary,Expo Magic of the White City,7.2
Crime,H.H. Holmes: America's First Serial Killer,5.6
Drama,Korczak,7.3
Documentary,You're Gonna Miss Me: A Film About Roky Erickson,6.8
Documentary,Forever,10.0
Comedy,Dimensions of Dialogue,7.5
Animation,Darkness/Light/Darkness,7.4
Drama,35 Shots of Rum,6.5
Comedy,Tormented,5.3
TV Movie,Mutant Pumpkins from Outer Space,6.0
Drama,Ali Zaoua: Prince of the Streets,6.3
Crime,23 Paces to Baker Street,6.2
Drama,"Maradona, the Hand of God",5.6
Drama,The Collector,6.1
Comedy,A Jungle Book of Regulations,7.0
Fantasy,Ryan,7.8
Drama,Balance,7.7
Comedy,Vampire Girl vs. Frankenstein Girl,5.2
Drama,Is Anybody There?,5.8
Drama,Les Misérables,7.2
Drama,Vital Signs,4.5
Horror,Saw VI,6.0
Music,This Is It,6.7
Action,Love Exposure,8.1
Drama,A Dangerous Woman,4.8
Fantasy,Twilight of the Ice Nymphs,6.6
Drama,Grave Decisions,7.2
Drama,99 River Street,6.7
Western,40 Guns to Apache Pass,4.1
Adventure,Cirque du Freak: The Vampire's Assistant,5.5
Action,The Boondock Saints II: All Saints Day,5.8
Comedy,Good Hair,6.7
Action,Black Dynamite,7.3
Comedy,Big Fan,6.1
War,Welcome to Dongmakgol,7.7
Horror,Salvage,4.4
Animation,Astro Boy,6.1
Comedy,One Hundred Men and a Girl,4.9
Comedy,Fun Is Beautiful,7.1
Action,Gentlemen Broncos,6.2
Adventure,Fantastic Mr. Fox,7.5
Drama,Creation,6.6
Drama,Coco Chanel & Igor Stravinsky,6.1
Action,Top Dog,4.3
Animation,The Pebble and the Penguin,5.2
Action,MVP: Most Valuable Primate,4.5
Drama,Not Easily Broken,6.3
Drama,Price of Glory,3.4
Comedy,Placido,7.5
Adventure,The Indian Tomb,5.9
Romance,L'Amour Fou,9.0
Drama,Storm Over Asia,6.9
Drama,Most,7.3
Drama,Arsenal,7.0
Drama,Barren Lives,6.4
Animation,A Christmas Carol,6.6
Action,The Lusty Men,6.3
Mystery,The Hart of London,8.7
Drama,Outskirts,5.0
Drama,Fires Were Started,5.8
Science Fiction,Battlestar Galactica: The Plan,6.6
Drama,The Chronicle of Anna Magdalena Bach,5.7
Romance,Hell's Hinges,5.7
Documentary,Michael Jackson: Life of a Superstar,0.0
Drama,Kaagaz Ke Phool,6.5
Drama,Murder by Contract,6.3
Comedy,The Private Lives of Pippa Lee,6.0
Documentary,Our Daily Bread,8.0
Comedy,The Doctor Takes a Wife,7.0
Comedy,A Night to Remember,7.3
Action,Last Stop for Paul,6.3
Family,The Toll of the Sea,5.0
Animation,Partly Cloudy,7.9
Animation,Rocks,7.1
Drama,Grey Gardens,6.7
Action,Goemon,6.8
Action,2012,5.6
Thriller,The Box,5.4
Drama,Broken Embraces,7.1
Drama,Sunday,6.3
Documentary,Through the Mist,6.0
Mystery,The Fourth Kind,5.8
Drama,Precious,6.9
Crime,The Undercover Man,6.0
Drama,The Bad Lieutenant: Port of Call - New Orleans,6.0
Adventure,The Twilight Saga: New Moon,5.6
Action,Derailed,3.9
Drama,The Messenger,7.0
Drama,Keith,7.0
Drama,Lemon Tree,6.7
Action,Ninja Assassin,6.2
Drama,"Police, Adjective",6.1
Action,Wake of Death,5.3
Action,Second In Command,4.7
Comedy,Efectos secundarios,5.0
Adventure,A Plumm Summer,5.7
Music,Wattstax,7.8
Action,The Hard Corps,4.7
Comedy,Oxford Blues,5.0
Action,Cell 211,7.3
Comedy,A Film with Me in It,6.1
Adventure,The Last Remake of Beau Geste,5.3
Horror,Doomwatch,7.4
Action,Until Death,4.9
Drama,Yeelen,6.5
Comedy,Carnival in Flanders,6.2
Music,Pakeezah,8.0
Romance,Princess Yang Kwei Fei,6.7
Action,The Patriot,4.2
Action,Ticker,3.6
Science Fiction,Turtles Forever,5.8
Family,Merry Madagascar,6.3
Drama,Brothers,6.8
Drama,Portraits of Women,4.0
Animation,The Fly,7.4
